section,current,erpnext,common_paths,identical,different,only_current,only_erpnext
.coderabbit.yml,0,1,0,0,0,0,1
.editorconfig,0,1,0,0,0,0,1
.env.local,1,0,0,0,0,1,0
.env.production,1,0,0,0,0,1,0
.eslintrc,0,1,0,0,0,0,1
.flake8,0,1,0,0,0,0,1
.git-blame-ignore-revs,0,1,0,0,0,0,1
.github,0,34,0,0,0,0,34
.gitignore,1,1,1,0,1,0,0
.mergify.yml,0,1,0,0,0,0,1
.pre-commit-config.yaml,0,1,0,0,0,0,1
.releaserc,0,1,0,0,0,0,1
.semgrepignore,0,1,0,0,0,0,1
.tmp_pos_sale_smoke.log,1,0,0,0,0,1,0
.vscode,1,0,0,0,0,1,0
AUDIT_REPORT_20260110.md,1,0,0,0,0,1,0
AZTA_SETUP.md,1,0,0,0,0,1,0
App.tsx,1,0,0,0,0,1,0
BASE_CURRENCY_MIGRATION_REPORT.md,1,0,0,0,0,1,0
CHANGELOG.md,1,0,0,0,0,1,0
CODEOWNERS,0,1,0,0,0,0,1
CODE_OF_CONDUCT.md,0,1,0,0,0,0,1
CONSOLIDATION_ENGINE_ARCHITECTURE.md,1,0,0,0,0,1,0
CURRENCY_FLOW_GL_PARTY_LEDGER.md,1,0,0,0,0,1,0
CURRENT_STATE_PARTY_LEDGER.md,1,0,0,0,0,1,0
DEPLOY_DB_REMOTE.md,1,0,0,0,0,1,0
DOCS,9,0,0,0,0,9,0
ENTERPRISE_GAP_ANALYSIS.md,1,0,0,0,0,1,0
ERP_AUDIT_REPORT_FULL.md,1,0,0,0,0,1,0
HIGH_INFLATION_APPLICATION_REPORT.md,1,0,0,0,0,1,0
HISTORICAL_ADJUSTMENTS_LEDGER.md,1,0,0,0,0,1,0
HISTORICAL_CURRENCY_ANOMALY_REPORT.md,1,0,0,0,0,1,0
HISTORICAL_RESTATEMENT_TARGETS.md,1,0,0,0,0,1,0
IMG-20260120-WA0037.jpg,1,0,0,0,0,1,0
INVENTORY_UOM_DIAGNOSTIC_REPORT.md,1,0,0,0,0,1,0
MULTI_CURRENCY_ARCHITECTURE.md,1,0,0,0,0,1,0
MULTI_CURRENCY_BREAKPOINTS.md,1,0,0,0,0,1,0
MULTI_CURRENCY_CURRENT_STATE.md,1,0,0,0,0,1,0
OWNER_MANUAL.md,1,0,0,0,0,1,0
PARTY_LEDGER_ARCHITECTURE.md,1,0,0,0,0,1,0
README.md,1,1,1,0,1,0,0
REPORTING_CURRENCY_INTEGRITY.md,1,0,0,0,0,1,0
RPC_DIAG.json,1,0,0,0,0,1,0
SECURITY.md,0,1,0,0,0,0,1
SETTLEMENT_ENGINE_ARCHITECTURE.md,1,0,0,0,0,1,0
SMOKE_BUDGET_ENTERPRISE_UPGRADE_REPORT.md,1,0,0,0,0,1,0
SMOKE_CONSOLIDATION_FULL_REPORT.md,1,0,0,0,0,1,0
SMOKE_CONSOLIDATION_REPORT.md,1,0,0,0,0,1,0
SMOKE_FULL_ENTERPRISE_REPORT.md,1,0,0,0,0,1,0
SMOKE_JOB_QUEUE_SCHEDULER_REPORT.md,1,0,0,0,0,1,0
SMOKE_LOCAL_FLOW_REPORT.md,1,0,0,0,0,1,0
SMOKE_MODERN_REPORT.md,1,0,0,0,0,1,0
SMOKE_PARTY_LEDGER_FULL.md,1,0,0,0,0,1,0
